nombre,pais,api_id,api_source
Brannon Braga,,Brannon Braga,wikipedia
Kay Cannon,,Kay Cannon,wikipedia
Oxford University Press,,Oxford University Press,wikipedia
Stanley Kubrick,New York,Stanley Kubrick,wikipedia
Isao Takahata,Ujiyamada,Isao Takahata,wikipedia
Karl Schapper,,Karl Schapper,wikipedia
Peter Brook,the early,Peter Brook,wikipedia
The Wall Street Journal,,The Wall Street Journal,wikipedia
President Franklin D. Roosevelt,Harvard University,Franklin D. Roosevelt,wikipedia
Nikkhil Advani,,Nikkhil Advani,wikipedia
Gene Yang,,Gene Luen Yang,wikipedia
Ronald D. Moore,,Ronald D. Moore,wikipedia
Dorothy Dunnett,,Dorothy Dunnett,wikipedia
Ransom Riggs. It,American,Ransom Riggs,wikipedia
Roshani Chokshi,,Roshani Chokshi,wikipedia
The Illearth War,,The Illearth War,wikipedia
Lisa McMann,American,Lisa McMann,wikipedia
Daniel Joy,,USS Daniel A. Joy,wikipedia
Florenz Ziegfeld Jr,,Florenz Ziegfeld Jr.,wikipedia
Jennifer A. Nielsen,American,Jennifer A. Nielsen,wikipedia
Paul McCartney,Liverpool,Paul McCartney,wikipedia
Cameron Alexander,,Cameron Alexander,wikipedia
Natasha Ngan,English,Natasha Ngan,wikipedia
Scholastic Inc,,Scholastic Corporation,wikipedia
Border Reivers,,Border reivers,wikipedia
Square Enix,,Square Enix,wikipedia
Lee Sullivan,funk to,Lee Sullivan,wikipedia
Peter Buchman,,Peter Buchman,wikipedia
Delacorte Press,,Dell Publishing,wikipedia
Lightstorm Entertainment,,Lightstorm Entertainment,wikipedia
Charles Vess,,Charles Vess,wikipedia
Melinda Hsu Taylor,,Melinda Hsu Taylor,wikipedia
Charlie Brooker,,Charlie Brooker,wikipedia
Parks Canada,,Parks Canada,wikipedia
Mike Cahill,,Mike Cahill (filmmaker),wikipedia
Zhang Yimou,the Beijing,Zhang Yimou,wikipedia
Apple Inc.,computers to,Apple Inc.,wikipedia
Karen Oganesyan,,Milk (2021 film),wikipedia
Belift Lab,,Belift Lab,wikipedia
Sire Records,,Sire Records,wikipedia
Peter Landin,,Peter Landin,wikipedia
Keita Amemiya,Urayasu,Keita Amemiya,wikipedia
Melanie Fontana,,Melanie Fontana,wikipedia
Frank Herbert,,Frank Herbert,wikipedia
ABC. However,the federal,Australian Broadcasting Corporation,wikipedia
John Keats,,John Keats,wikipedia
Ransom Riggs,American,Ransom Riggs,wikipedia
Dominique Jean Larrey,,Dominique Jean Larrey,wikipedia
Jung Chang,,Jung Chang,wikipedia
H. G. Bissinger,,Buzz Bissinger,wikipedia
Alexander Ullom,critics,It Ends,wikipedia
Bantam Books,Grosset,Bantam Books,wikipedia
Aitch Alberto,,Aristotle and Dante Discover the Secrets of the Universe (film),wikipedia
Interscope Records,most record,Interscope Records,wikipedia
Chris Coelen,,Chris Coelen,wikipedia
Noah Hawley,,Noah Hawley,wikipedia
Lee Chang-dong,,Lee Chang-dong,wikipedia
Shin Ha-eun,,Shin Ha-eun,wikipedia
Alvin Toffler,,Alvin Toffler,wikipedia
Urve Tamberg,,Urve Tamberg,wikipedia
Meaghan Oppenheimer,,Meaghan Oppenheimer,wikipedia
Boy Kill Boy,,Boy Kill Boy,wikipedia
Colin Trevorrow,,Colin Trevorrow,wikipedia
John Green,Indianapolis,John Green,wikipedia
